Probe Set ID	Gene Symbol	hey 0h 1-1a 	hey 0h 1-2a 	hey 0h 1-3a 	429 3h 3-1a 	429 3h 3-2a 	429 3h 3-3a 	429 5h 5-1a 	429 5h 5-2a 	429 5h 5-3a 	429 7h 7-1a 	429 7h 7-2a 	429 7h 7-3a 	429-24h-1 	429-24h-2 	429-24h-3 	429-48h-1 	429-48h-2 	429 48h-3	nc 3h 2-1a 	nc 3h 2-2a 	nc 3h 2-3a 	nc 5h 4-1a 	nc 5h 4-2a 	nc 5h 4-3a 	nc 7h 6-1a 	nc 7h 6-2a 	nc 7h 6-3a 	nc-24h-1 	nc-24h-2 	nc-24h-3a 	nc-48h-1 	nc-48h-2 	nc-48h-3 	
1007_s_at	DDR1 /// MIR4640	4.255165	3.479571	4.79839	4.085186	4.601349	4.133121	4.715774	3.979584	2.068935	4.687516	5.19138	4.422082	5.542584	5.755428	5.875638	5.687305	5.620059	4.938893	3.550326	4.97382	5.316834	5.452653	4.978077	4.105139	4.177796	3.451446	3.717263	4.890397	5.522082	5.739308	5.037919	4.293387	5.108982	
1053_at	RFC2	2.10616	2.156374	3.158476	2.556448	2.386519	1.599097	1.178572	2.204345	1.95891	2.495743	2.222877	1.94832	5.999797	6.277752	6.223754	5.329195	5.320956	5.639803	2.504103	4.791591	5.020555	1.435817	2.568793	1.550533	1.286195	2.125185	2.096681	4.182246	6.254827	6.737799	4.512691	4.655968	5.264999	
117_at	HSPA6	3.413757	3.15951	2.827301	2.001801	1.71617	2.41686	2.200001	2.458756	3.589877	3.849059	2.980296	2.471598	2.516383	2.635842	2.550591	2.763196	2.127637	1.947763	3.07039	2.555867	2.519472	3.163521	2.469518	2.420825	3.870719	2.348809	2.461282	2.038216	2.949009	3.016134	2.237725	2.040388	1.628041	
121_at	PAX8	7.513237	7.880823	6.288454	7.303138	7.98883	7.928128	7.550248	7.214429	7.595654	2.413148	7.376906	6.388079	8.218054	8.58314	8.757482	9.07809	9.049868	9.019888	3.784243	9.0403	9.211814	7.706152	7.695348	7.960132	7.528957	7.509509	6.349284	8.81883	9.445444	9.356327	9.270436	8.749264	9.093028	
1294_at	MIR5193 /// UBA7	1.854251	3.78536	3.760949	2.487157	3.035052	1.792178	2.82939	2.598507	1.745128	1.442131	3.136985	1.732877	2.616122	2.766854	2.848661	2.419199	1.933705	2.771773	1.906227	2.62549	2.980761	2.103842	3.564712	2.714823	1.859102	2.08689	3.167419	1.912458	3.155673	2.902233	3.239455	2.056255	2.331704	
1316_at	THRA	1.957585	1.978823	2.574595	2.425785	2.946253	3.711006	3.994801	3.964517	3.047722	4.059793	3.02174	3.775536	3.248878	2.303263	2.390065	4.210755	4.099329	4.207889	2.858371	3.309661	3.410143	3.587804	3.351252	3.52019	3.232893	2.737361	1.715034	1.908621	2.928543	3.795265	5.097969	4.185219	4.918751	
1320_at	PTPN21	2.061531	1.949396	2.057831	3.090252	1.518573	2.650209	2.732118	1.903103	2.005603	2.640336	2.133446	2.131671	2.376982	2.667837	2.337223	1.514956	1.641855	1.387413	2.703369	2.119067	1.878799	2.065089	2.48237	2.072711	1.928637	1.594952	2.56268	3.024443	2.676294	2.695696	2.157707	2.162935	2.759151	
1431_at	CYP2E1	1.512743	2.783905	2.090639	0.8330175	1.356002	2.872328	1.277471	1.508986	1.548646	2.100337	2.640504	1.456741	1.535563	1.519432	1.60517	1.604061	1.191582	1.513803	1.327341	1.296176	1.067048	2.289374	2.39382	1.90806	1.817073	1.525949	1.650739	1.350008	2.243311	1.667299	1.366358	1.467881	2.133759	
1487_at	ESRRA	4.813192	4.362219	3.076956	3.692177	5.094952	4.978465	4.528343	2.9973	4.746216	4.411395	4.688578	2.567479	6.656181	6.937297	6.842694	5.892338	5.913159	6.382039	3.323197	6.361878	6.677445	5.047327	4.910233	4.597679	3.545677	4.734693	4.489673	5.654818	6.460215	7.050589	6.363501	5.344561	5.993786	
1552256_a_at	SCARB1	2.798365	2.456795	2.243707	3.164785	2.729414	3.259968	1.538459	1.524624	1.984411	2.238494	2.653564	2.437374	4.452192	4.989336	4.692437	4.044547	3.98893	4.533978	2.870334	4.256397	4.930637	3.275813	2.174658	3.132513	2.21278	1.679466	2.514836	2.443412	5.145504	4.780109	4.258106	1.86578	3.697613	
